id,published_date,title,source,tags,crawl_date,tickers,day_of_week
95658291,2026-05-15,Bill Ackman Just Bought Microsoft Stock — Here’s Why It Could Be His Biggest Bet Yet,finance.yahoo.com,"('Amazon', 'Consumer Cyclical', 'Financial Services', 'Forward Earnings', 'Foundation', 'Karen Ackman', 'Microsoft', 'Pershing Square', 'Quarterly Revenue', 'Stock', 'Technology', 'Technology Companies', 'Unknown Sector')",2026-05-15,"('amzn', 'bn', 'goog', 'googl', 'meta', 'msft', 'nvda', 'qsr', 'uber')",5
95657732,2026-05-15,"Billionaire Investor Bill Ackman Just Added a Fourth ""Magnificent Seven"" Stock to His Hedge Fund's Portfolio. Should Investors Follow Suit?",fool.com,"('Amzn', 'C41B94A0-70E5-40D2-893B-7C12B1E5Fe70', 'Consumer Cyclical', 'ETF', 'Goog', 'Googl', 'Investing', 'Meta', 'Msft', 'Pshzf', 'Psus', 'Stock', 'Technology', 'Technology And Telecom', 'Unknown Sector')",2026-05-15,"('amzn', 'goog', 'googl', 'meta', 'meta', 'metv', 'msft', 'pshzf', 'psus')",5
95656606,2026-05-15,Meta vs. Snap: What Do Their Quarterly Revenue Trends Tell Investors?,finance.yahoo.com,"('Consumer Cyclical', 'Meta Platforms', 'Quarterly Revenue', 'Snap', 'Stock', 'Technology', 'Virtual Reality Hardware')",2026-05-15,"('brcm', 'meta', 'nflx', 'nvda', 'snap')",5
95655755,2026-05-15,Meta vs. Snap: What Do Their Quarterly Revenue Trends Tell Investors?,fool.com,"('5D8767F6-Fefb-4C34-95A0-76D6Db0Bd2Ab', 'Coveragecharts', 'ETF', 'Meta', 'Snap', 'Stock', 'Technology')",2026-05-15,"('meta', 'meta', 'metv', 'snap')",5
95657606,2026-05-15,"Meta Platforms, Inc. (META) is Attracting Investor Attention: Here is What You Should Know",zacks.com,"('ETF', 'Stock', 'Tale Of The Tape', 'Technology')",2026-05-15,"('meta', 'meta', 'metv')",5
95653063,2026-05-15,Daily: Nvidia’s Stock Rally Fuels The S&P 500 To New Heights,forbes.com,"('Adani', 'Ai', 'Anthropic', 'Crypto', 'ETF', 'Financial Services', 'Forbes Daily', 'Letter', 'Meta', 'Openai', 'Spacex', 'Stock', 'Technology', 'Unknown Sector', 'Venture Capital')",2026-05-15,"('aaic', 'ai', 'meta', 'meta', 'metv')",5
95653169,2026-05-15,"Nvidia Nears 52-Week High: Is It a Buy, Sell or Hold?",finance.yahoo.com,"('Blackwell', 'China Data Center', 'Commitments', 'Data Center', 'ETF', 'Free Cash Flow', 'Networking Business', 'Nvidia', 'Stock', 'Technology', 'Top 10 Ai Stocks', 'Unknown Sector', 'Vera Rubin')",2026-05-15,"('googl', 'meta', 'msft', 'nvda', 'tall')",5
95652022,2026-05-15,Bill Ackman Bought Google After the ChatGPT Panic (Up 300%). He Bought Amazon After Liberation Day (Up 36%). Now He’s Backing Up The Truck Again.,finance.yahoo.com,"('Amazon', 'Consumer Cyclical', 'Google Search', 'Karen Ackman', 'Microsoft', 'Pershing Square', 'Pershing Square Foundation', 'President Trump', 'Stock', 'Technology')",2026-05-15,"('amzn', 'goog', 'googl', 'meta', 'msft', 'nvda')",5
95651966,2026-05-15,"The Professor Who Tracks Every US IPO Just Issued a Warning on SpaceX: “Most of the Time, Things Don’t Go According to Plan.”",finance.yahoo.com,"('Alibaba Group', 'Consumer Cyclical', 'Financial Services', 'Jay Ritter', 'Meta Platforms', 'Stock', 'Technology', 'Visa')",2026-05-15,"('baba', 'meta', 'nvda', 'v')",5
95651489,2026-05-15,"Trump Says He Discussed AI Guardrails, Nvidia’s Chips With Xi",bloomberg.com,"('Stock', 'Technology', 'Tiingo Top')",2026-05-15,"('googl', 'meta', 'nvda')",5
