date,numerical_sentiment,mean_sentiment_probability,percent_positive,percent_negative,percent_neutral
2026-01-26,0.03571428571428571,0.8003574567181724,0.21428571428571427,0.17857142857142858,0.6071428571428571
2026-01-27,0.1588785046728972,0.7909405780172793,0.29906542056074764,0.14018691588785046,0.5607476635514018
2026-01-28,0.17054263565891473,0.8010101489318434,0.3023255813953488,0.13178294573643412,0.5658914728682171
2026-01-29,-0.02702702702702703,0.8061342863617716,0.20945945945945946,0.23648648648648649,0.5540540540540541
2026-01-30,-0.109375,0.8377806060016155,0.15625,0.265625,0.578125
2026-01-31,0.11764705882352941,0.8322653454892776,0.14705882352941177,0.029411764705882353,0.8235294117647058
2026-02-01,0.0,0.8379221122998458,0.23076923076923078,0.23076923076923078,0.5384615384615384
2026-02-02,-0.07692307692307693,0.8140241627509778,0.15384615384615385,0.23076923076923078,0.6153846153846154
2026-02-03,-0.09615384615384616,0.7981896996498108,0.07692307692307693,0.17307692307692307,0.75
2026-02-04,-0.046153846153846156,0.8076378230865185,0.15384615384615385,0.2,0.6461538461538462
2026-02-05,0.17307692307692307,0.8182599149071254,0.3269230769230769,0.15384615384615385,0.5192307692307693
2026-02-06,-0.1388888888888889,0.8183096539643075,0.1527777777777778,0.2916666666666667,0.5555555555555556
2026-02-07,0.0,0.8324393604112708,0.08695652173913043,0.08695652173913043,0.8260869565217391
2026-02-08,-0.2222222222222222,0.8335267934534285,0.1111111111111111,0.3333333333333333,0.5555555555555556
2026-02-09,-0.02631578947368421,0.8104328422954208,0.18421052631578946,0.21052631578947367,0.6052631578947368
2026-02-10,0.0,0.8070339574929206,0.1935483870967742,0.1935483870967742,0.6129032258064516
2026-02-11,0.03076923076923077,0.8260186685965611,0.18461538461538463,0.15384615384615385,0.6615384615384615
2026-02-12,0.05405405405405406,0.8206616591762852,0.21621621621621623,0.16216216216216217,0.6216216216216216
2026-02-13,-0.020833333333333332,0.8140955877800783,0.16666666666666666,0.1875,0.6458333333333334
2026-02-14,-0.10526315789473684,0.7755058439154374,0.15789473684210525,0.2631578947368421,0.5789473684210527
2026-02-15,-0.23529411764705882,0.8226792777285856,0.058823529411764705,0.29411764705882354,0.6470588235294118
2026-02-16,0.1794871794871795,0.7870564827552209,0.2564102564102564,0.07692307692307693,0.6666666666666666
2026-02-17,0.04819277108433735,0.7879584205437855,0.25301204819277107,0.20481927710843373,0.5421686746987951
2026-02-18,0.010309278350515464,0.7972334942866847,0.21649484536082475,0.20618556701030927,0.5773195876288659
2026-02-19,0.047619047619047616,0.8388476932332629,0.19047619047619047,0.14285714285714285,0.6666666666666666
2026-02-20,-0.0392156862745098,0.8551337987768883,0.17647058823529413,0.21568627450980393,0.6078431372549019
2026-02-21,-0.1,0.786966422200203,0.1,0.2,0.7
2026-02-22,0.12,0.8409007692337036,0.28,0.16,0.56
2026-02-23,0.20833333333333334,0.7951346623400847,0.2916666666666667,0.08333333333333333,0.625
